,name,f0,f1,type
294,A294,-1.0,-0.7942719946787661,A
295,A295,-1.0,-0.9064230374669082,A
296,A296,-0.2922406137216944,-0.43160877894690997,A
297,A297,0.6736012287560214,-1.0,A
298,A298,-0.5298951730027498,-1.0,A
299,A299,-0.949255252763235,-1.0,A
300,A300,-0.26615769889644525,-1.0,A
301,A301,0.8209704971566121,-0.9856989913238997,A
302,A302,0.08684676613566444,0.16679961873279803,A
303,A303,0.10817236925284557,0.037670685226041334,A
304,A304,0.2594302200096563,-0.27621370109808097,A
305,A305,0.4789794712190627,-0.15849131387395665,A
306,A306,0.16446514696010772,0.8611830148155375,A
307,A307,0.20309741496640532,1.0,A
308,A308,0.4879486302296776,-0.13214836691804843,A
309,A309,-0.17999074132186654,1.0,A
310,A310,0.1492439573116584,0.8491215538602503,A
311,A311,0.22793473746962767,0.9575200878674837,A
312,A312,0.9129935523946964,-1.0,A
313,A313,0.2146726899101723,1.0,A
314,A314,0.13928108301711517,0.6782322330276562,A
315,A315,0.34966590092843264,0.7388773589079085,A
316,A316,0.33174809484793544,0.12154150431743904,A
317,A317,-0.08132787521590668,-0.15814993524767396,A
318,A318,-0.8806789829960386,-0.31555494116132954,A
319,A319,-1.0,-0.544818488365926,A
320,A320,-0.5771646995616715,-0.7905453117844465,A
321,A321,-1.0,-1.0,A
322,A322,-1.0,-1.0,A
323,A323,-1.0,-1.0,A
324,A324,-1.0,-1.0,A
325,A325,-1.0,-1.0,A
326,A326,-1.0,-1.0,A
327,A327,-1.0,-1.0,A
328,A328,-0.9702851575717767,-1.0,A
329,A329,-1.0,-0.7983503009954459,A
330,A330,-0.9601946133676884,0.14120122104638244,A
331,A331,-1.0,-0.8431548553893412,A
332,A332,-1.0,-1.0,A
333,A333,-1.0,-1.0,A
334,A334,-1.0,-1.0,A
335,A335,-1.0,-1.0,A
336,A336,-1.0,-0.9513404610338114,A
337,A337,-1.0,-1.0,A
338,A338,-1.0,-1.0,A
339,A339,-0.6371141874226478,-1.0,A
340,A340,-0.8047219068196051,-1.0,A
341,A341,-0.7689779605371322,-1.0,A
342,A342,-0.8823582496379851,-1.0,A
343,A343,-0.7320647876382085,-1.0,A
344,A344,-1.0,-1.0,A
345,A345,-0.8184630783292124,-1.0,A
346,A346,-0.8000110598200474,-1.0,A
347,A347,-0.7099042740252661,-1.0,A
348,A348,-0.9553687107758906,-1.0,A
349,A349,-0.8226019445910454,-1.0,A
350,A350,-0.9855211964054102,-1.0,A
351,A351,-0.5501905422737914,0.24851419739515057,A
352,A352,-1.0,-1.0,A
353,A353,-1.0,-1.0,A
354,A354,-1.0,-1.0,A
355,A355,-1.0,-1.0,A
356,A356,-1.0,-1.0,A
357,A357,-1.0,-0.9828933540407604,A
358,A358,-1.0,-1.0,A
359,A359,-0.9540886908010883,-0.9688684308283053,A
360,A360,-1.0,-1.0,A
361,A361,-1.0,-1.0,A
362,A362,-1.0,-1.0,A
363,A363,-1.0,-1.0,A
364,A364,-1.0,-0.9928058782015209,A
365,A365,-1.0,-0.7758775146106763,A
366,A366,-1.0,-1.0,A
367,A367,-0.7006157107596626,-0.6800299584905725,A
368,A368,-1.0,-1.0,A
369,A369,-1.0,-0.9201445922586851,A
370,A370,-0.9970049998843761,-0.989958056950175,A
371,A371,-1.0,-1.0,A
372,A372,-1.0,-1.0,A
373,A373,-1.0,-1.0,A
374,A374,-0.9984261370530837,-1.0,A
375,A375,-0.9478811579324214,-0.45827745421923927,A
376,A376,-0.7455091572905511,-1.0,A
377,A377,-1.0,-1.0,A
378,A378,-0.992392262854898,-1.0,A
379,A379,-0.7294096732049348,-1.0,A
380,A380,-0.6573587888367223,-0.5192108470204865,A
381,A381,-0.7319294837334995,-1.0,A
382,A382,-1.0,-1.0,A
383,A383,-1.0,-0.6175384573039986,A
384,A384,-1.0,-1.0,A
385,A385,-0.8915528778122483,-0.8917937078088262,A
386,A386,-0.8387376500367483,-1.0,A
387,A387,-1.0,-1.0,A
388,A388,-1.0,-1.0,A
389,A389,-1.0,-1.0,A
390,A390,-1.0,-1.0,A
391,A391,-1.0,-1.0,A
392,A392,-1.0,-1.0,A
393,A393,-1.0,-1.0,A
394,A394,-1.0,-1.0,A
395,A395,-1.0,-1.0,A
396,A396,-1.0,-0.8852533366665516,A
397,A397,-1.0,-1.0,A
398,A398,-1.0,-1.0,A
399,A399,-1.0,-1.0,A
400,A400,-1.0,-1.0,A
401,A401,-0.9865618919586153,-1.0,A
402,A402,-1.0,-1.0,A
403,A403,-0.9046542335485009,-1.0,A
404,A404,-0.8443139650458029,-1.0,A
405,A405,-0.8648807161790533,-1.0,A
406,A406,-0.9403229552732119,-1.0,A
407,A407,-0.7441224338331747,-1.0,A
408,A408,-0.7413836698481183,-1.0,A
409,A409,-0.9557096142618284,-1.0,A
410,A410,0.3296938722155731,-1.0,A
411,A411,-0.8721333093502782,-1.0,A
412,A412,-0.9520062917684041,-1.0,A
413,A413,-1.0,-1.0,A
414,A414,-1.0,-1.0,A
415,A415,-0.9350514932483078,-1.0,A
416,A416,-0.6640571013480177,-1.0,A
417,A417,-0.9407830369300503,-1.0,A
418,A418,-1.0,-1.0,A
419,A419,-1.0,-1.0,A
420,A420,-1.0,-0.9248949816715033,A
421,A421,-1.0,-1.0,A
422,A422,-0.3632230184183177,-1.0,A
423,A423,0.017506836044536733,-1.0,A
424,A424,-0.4091598999116224,-1.0,A
425,A425,-0.7204676500029477,-1.0,A
426,A426,0.2787014508724033,0.009040219312159925,A
427,A427,-0.3465537718411228,-0.6438773145046695,A
428,A428,0.27678572254647316,-0.21389599342963972,A
429,A429,-0.43853321803032563,-1.0,A
430,A430,-0.6560565164156782,-1.0,A
431,A431,0.8561874949010917,-1.0,A
432,A432,0.8350884856345258,-1.0,A
433,A433,0.8409024084832508,-1.0,A
434,A434,-0.5303750402403471,-1.0,A
435,A435,-0.5411652477795686,-1.0,A
436,A436,-0.585734269270898,-0.32321284005083795,A
437,A437,-0.6860211858183625,-0.8277462469260586,A
438,A438,0.37195997028462546,-1.0,A
439,A439,-0.22895137374527041,-1.0,A
440,A440,1.0,-1.0,A
441,A441,1.0,-1.0,A
442,A442,0.9116116723344811,-1.0,A
443,A443,0.782787214767356,-1.0,A
444,A444,0.9689795714147647,-1.0,A
445,A445,1.0,-1.0,A
446,A446,0.7783642603408825,-1.0,A
447,A447,0.9720962427112521,-1.0,A
448,A448,-0.14148419182813554,-1.0,A
449,A449,1.0,-1.0,A
450,A450,0.9306669655842987,-1.0,A
451,A451,0.986187587799835,-1.0,A
452,A452,0.8978659338306219,-1.0,A
453,A453,0.3704569546214016,-1.0,A
454,A454,0.9976212701608913,-1.0,A
455,A455,-0.6694705066959978,-1.0,A
456,A456,-0.29201572345139815,-1.0,A
457,A457,-1.0,-1.0,A
458,A458,0.023655520226898208,-1.0,A
459,A459,-0.3835784950733814,-1.0,A
460,A460,-0.9408662802210904,-0.8140869335391901,A
461,A461,-0.7662915785304864,-1.0,A
462,A462,-1.0,-0.9177185818130501,A
463,A463,-1.0,-0.4745854598461231,A
464,A464,-0.08230705031599572,-1.0,A
465,A465,-0.4101282692604573,-1.0,A
466,A466,-0.6405263602601863,-1.0,A
467,A467,-0.5156189489668488,0.5431706839678596,A
468,A468,-0.39291374556349545,-0.7023823816746417,A
469,A469,-0.7727497387343261,-1.0,A
470,A470,0.9052487173949559,-1.0,A
471,A471,0.876371885186549,-1.0,A
472,A472,1.0,-1.0,A
473,A473,0.962800448331,-1.0,A
474,A474,0.17889736378840215,0.4762081110284526,A
475,A475,0.6629448218600456,-0.4021799874534051,A
476,A476,0.16502873780879423,1.0,A
477,A477,-0.9393433335219941,-0.0027476778708501737,A
478,A478,-0.7940729318559682,-0.157266260921621,A
479,A479,0.1408683705441367,-0.47512866104871154,A
480,A480,-0.9162377872391732,-1.0,A
481,A481,-1.0,-1.0,A
482,A482,-1.0,-0.8712757118303973,A
483,A483,0.10499522933085759,0.2682687945415607,A
484,A484,-1.0,-1.0,A
485,A485,-1.0,-1.0,A
486,A486,-1.0,-1.0,A
487,A487,-1.0,-0.5674835955255464,A
488,A488,-0.5771646731202356,-0.11420742024530262,A
489,A489,-1.0,-1.0,A
490,A490,-1.0,-0.7943676735789734,A
491,A491,-0.925536262839503,-0.8776301778599485,A
492,A492,-1.0,-1.0,A
493,A493,-1.0,-0.9654656016135672,A
494,A494,-1.0,-0.548869665353912,A
495,A495,-1.0,-0.5095035223744107,A
496,A496,-1.0,-0.9625890033403873,A
497,A497,-1.0,-1.0,A
498,A498,-1.0,-0.6026591776146208,A
499,A499,-1.0,-0.650754230458148,A
500,A500,-1.0,-1.0,A
501,A501,0.10136908941108969,0.467353992497076,A
502,A502,-0.5718138872437724,-0.2745917858366691,A
503,A503,-0.6886694820592824,-0.7402190858283562,A
504,A504,-0.035652397620756004,0.5531257754665357,A
505,A505,0.11478543853331091,1.0,A
506,A506,-0.5054000879456864,1.0,A
507,A507,0.24479235853362313,1.0,A
508,A508,0.16265888854063282,1.0,A
509,A509,0.3890761457728986,-0.773650884713516,A
510,A510,0.9866842730408807,-1.0,A
511,A511,1.0,-1.0,A
512,A512,1.0,-1.0,A
513,A513,1.0,-1.0,A
514,A514,0.9997874405468676,-1.0,A
515,A515,1.0,-1.0,A
516,A516,1.0,-1.0,A
517,A517,0.8917024596460528,-0.6544467946775899,A
518,A518,0.949114241497117,-1.0,A
519,A519,1.0,-1.0,A
520,A520,0.853175351183818,-0.48109727888837395,A
521,A521,0.9994088741513092,-1.0,A
522,A522,0.7986873483752257,-0.2543983796054706,A
523,A523,0.9681088563424471,-1.0,A
524,A524,0.25806345430993494,1.0,A
525,A525,0.46761509272386825,0.793653641440422,A
526,A526,0.26492833931590454,1.0,A
527,A527,-0.21451022088924643,1.0,A
528,A528,-0.553950652508015,1.0,A
529,A529,0.09932380604023106,1.0,A
530,A530,-0.21113878550100362,1.0,A
531,A531,-0.32482863497896275,1.0,A
532,A532,-0.30281184012161,1.0,A
533,A533,-0.1731444426549762,1.0,A
534,A534,-0.5398206052116672,1.0,A
535,A535,-0.49896432539513247,1.0,A
536,A536,-0.8224586160318328,1.0,A
537,A537,-0.6541448079185941,1.0,A
538,A538,-1.0,-1.0,A
539,A539,-1.0,-0.7034015484790594,A
540,A540,-0.8199977342600677,1.0,A
541,A541,-0.916944026551734,-0.2722722360190478,A
542,A542,-0.6358087683526723,0.2911060080634189,A
543,A543,-1.0,-0.9915108366196947,A
544,A544,-1.0,-1.0,A
545,A545,-1.0,-1.0,A
546,A546,-1.0,-1.0,A
547,A547,-1.0,-1.0,A
548,A548,-1.0,-1.0,A
549,A549,-1.0,-0.3504402371307024,A
550,A550,-1.0,-1.0,A
551,A551,-1.0,-1.0,A
552,A552,-1.0,-0.8012120043533034,A
553,A553,-1.0,-0.8073841821931944,A
554,A554,-1.0,-1.0,A
555,A555,-1.0,-1.0,A
556,A556,-1.0,-1.0,A
557,A557,-1.0,-1.0,A
558,A558,-1.0,-1.0,A
559,A559,-1.0,-1.0,A
560,A560,-1.0,-1.0,A
561,A561,-1.0,-1.0,A
562,A562,-1.0,-0.6838653503640331,A
563,A563,-0.2126680454952381,-1.0,A
564,A564,-1.0,-0.9928058782015209,A
565,A565,-1.0,-0.978435046239621,A
566,A566,-1.0,-1.0,A
567,A567,-1.0,-1.0,A
568,A568,-1.0,-1.0,A
569,A569,-1.0,-0.19086118890615578,A
570,A570,-0.9452642016016702,-1.0,A
571,A571,-1.0,-0.8717772533464399,A
572,A572,-0.9025136259614079,-1.0,A
573,A573,-1.0,-0.2822601474970291,A
574,A574,-1.0,-0.8958018602756841,A
575,A575,-1.0,-0.9364370226558197,A
576,A576,-1.0,-1.0,A
577,A577,-1.0,-0.9194565445168323,A
578,A578,-0.9617675382003944,-1.0,A
579,A579,-1.0,-0.1807295631380923,A
580,A580,-1.0,-0.46345923456466687,A
581,A581,-0.673451796240057,1.0,A
582,A582,-0.5101299506186082,1.0,A
583,A583,-0.4106103441853821,1.0,A
584,A584,-0.343124343044951,1.0,A
585,A585,-0.4525888251000808,1.0,A
586,A586,-0.41875527255774236,1.0,A
587,A587,-0.5842963259394499,1.0,A
588,A588,0.0233591662833339,1.0,A
589,A589,-0.16466598961538315,1.0,A
590,A590,-0.2895477168595979,1.0,A
591,A591,-0.4230991928438468,1.0,A
592,A592,-0.30857956832705535,1.0,A
593,A593,-0.33710988372600004,1.0,A
